Designator,Footprint,Quantity,Value,LCSC Part #
BTN_OPT_01,MOMENTARY_BUTTON,1,SW_Push_Momentary,
J1,YK441 Screw Terminal Block_CAR_NFC,1,~,
"J2, J3",RJ45_Amphenol_RJHSE5380,2,AMPHENOL_RJHSE-5380-ND,
J4,8_PIN_HEADER,1,10_PIN_HEADER,
"R1, R2",1206,2,R,
"SW_OPT_02, SW_OPT_03",SW_CuK_OS102011MA1QN1_SPDT_Angled,2,SW_SPDT,
U1,TLP240A,1,TLP240A,
U2,ESP32-S3-DEVKITC_DAVID,1,ESP32-S3-DevKitC-1_DAVID,
